year,ind2d,sale_D,cogs_D,xsga_D,kexp,theta_WI1_ct,theta_WI1_kt,theta_WI2_ct,theta_WI2_xt,theta_WI2_kt,ratio_DLEU_PF1_cap_noncap,ratio_DLEU_PF2_cap_noncap,ratio_DLEU_CS_cap_noncap,ratio_DLEU_PS_profits_go
1975,11,22146384.05371094,16008353.03076172,3841641.836669922,775362.5658874512,.83279061,.58928365,.70905197,.40197,.078638472,.70760119,.0707803,.039061096,.068680584
1976,11,21873546.32324219,15936443.8515625,3905402.407958984,1064816.678863525,.83702946,.34836644,.72245765,.33744398,.097408168,.41619375,.091903031,.053665202,.044203322
1977,11,22072495.05761719,16004171.18261719,3973621.575561523,1044084.22467041,.84680879,.36574441,.70768464,.30925685,.054964207,.43190908,.054048546,.052262243,.047598518
1978,11,14494660.37109375,9566888.51953125,3055123.087524414,980180.1984863281,.87062562,.069103979,.69797635,.28223854,.0088244658,.079372786,.0090025831,.077656418,.061572231
1979,11,23678138.9453125,17915820.12060547,3589007.952880859,1328606.017944336,.87291092,.17000377,.70327848,.31977877,.056255478,.194755,.054987617,.061781757,.03567446
1980,11,23348123.73590088,17622069.97302246,3599991.166625977,1218354.528930664,.84926826,.22673874,.69081628,.35558769,.043974314,.2669813,.042024221,.057409812,.03887713
1981,11,10637799.7421875,9020372.392852783,872361.0018310547,501171.2045087814,.85359991,.37534493,.68434638,.29165536,.24512601,.43971997,.25115326,.050660539,.022927217
1982,11,10397382.39459229,8781251.801696777,1055404.638183594,691387.4656333923,.85223395,.25735235,.67085516,.22844806,.27943379,.30197382,.31072253,.07028684,-.012566769
1983,11,11737481.61401367,9609020.587585449,1260299.857452393,678649.0877876282,.86455995,.53359592,.69371229,.23323524,.31464481,.61718786,.33944187,.062437121,.016145889
1984,11,11276943.46528625,9190707.032272339,1322995.376159668,756091.0400695801,.85400081,.57257599,.67000616,.2408801,.42028639,.67046303,.46140382,.071914822,.00063403853
1985,11,15108249.67012024,12006415.73345947,1713683.679779053,1247463.595161438,.7764309,.49515268,.60033554,.3079817,.30926874,.63772923,.34048539,.090922341,.0093119098
